샘밭막국수 (서울본점), 서울시 서초구 서초동 1685-8, 02-585-1702, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:30 - 21:30
이성당 (롯데백화점 잠실점), 서울시 송파구 잠실동 40-1, 02-2143-7061, 베이커리, 만원 미만, 유료주차 가능, 월-금: 10:30 - 20:00\n토-일: 10:30 - 20:30
겟썸커피, 서울시 송파구 신천동 29, 070-4204-3619, 카페 / 디저트, 만원 미만, 주차공간없음, 10:00 - 22:00
팔라쪼, 서울시 송파구 신천동 29, 02-3213-4542, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:30 - 23:00
하카다분코 (잠실점), 서울시 송파구 잠실동 40-1, 라멘 / 소바 / 우동, 만원 미만, None, None, None
카페413프로젝트, 서울시 강남구 역삼동 640-9, 070-7798-0544, 카페 / 디저트, 만원 미만, 무료주차 가능, 화-토: 10:30 - 22:00\n일: 10:30 - 21:00
파티세리바이가루하루, 서울시 강남구 역삼동 670-17, 02-538-8090, 카페 / 디저트, 만원 미만, 주차공간없음, 화-토: 12:00 - 20:00
육전식당 (4호점), 서울시 강남구 역삼동 823-10, 02-3452-6373, 고기 요리, 2만원-3만원, 무료주차 가능, 11:30 - 23:00
지아니스나폴리 (역삼 본점), 서울시 강남구 역삼동 669-18, 02-566-0501, 이탈리안, 만원-2만원, 유료주차 가능, 11:30 - 22:30
크리에잇쿠키 (역삼점), 서울시 강남구 역삼동 641-1, 카페 / 디저트, 만원 미만, 11:30 - 20:00, , 클래식 초코칩 쿠키\n1
대우부대찌개, 서울시 강남구 역삼동 641-18, 02-552-1663, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 월-금: 10:00 - 21:30 토-일: 11:30 - 21:30
봉된장 (본점), 서울시 강남구 역삼동 828-21, 070-8800-2345, 한정식 / 백반 / 정통 한식, 만원 미만, 주차공간없음, 11:00 - 21:30
클로리스 (강남파이낸스센터몰점), 서울시 강남구 역삼동 737, 02-553-7523, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 08:00 - 23:00\n토-일: 11:00 - 22:00
진가와 (한국본점), 서울시 강남구 역삼동 670-20, 02-564-8553, 라멘 / 소바 / 우동, 만원 미만, 발렛, 11:30 - 23:00
고갯마루집, 서울시 강남구 역삼동 725-12, 02-3476-7006, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 11:00 - 22:00
더은교, 서울시 관악구 봉천동 1632-6, 02-877-1103, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 20:00
무삥과팟타이, 서울시 관악구 봉천동 1632-6, 태국 음식, 만원 미만, None, None, None
차이나당, 서울시 관악구 봉천동 1625-29, 02-882-0818, 정통 중식 / 일반 중식, 만원-2만원, 주차공간없음, 월-금: 15:00 - 05:00\n일: 15:00 - 03:00
아모르미오, 서울시 관악구 봉천동 1679-7, 070-8229-1456, 카페 / 디저트, 만원 미만, 주차공간없음, 10:00 - 01:00
쟝블랑제리, 서울시 관악구 봉천동 1660-7, 02-889-5170, 베이커리, 만원 미만, 주차공간없음, 07:00 - 22:00
가빈커피로스터스, 서울시 관악구 봉천동 1688-125, 02-871-7139, 카페 / 디저트, 만원 미만, 주차공간 없음, 08:00 - 24:00
엘따뻬오, 서울시 관악구 봉천동 1629-4, 02-882-8835, 세계음식 기타, 만원-2만원, 주차공간없음, 월-금: 17:00 - 01:00\n토: 11:30 - 01:00\n일: 11:30 - 24:00
푸다기 (낙성대점), 서울시 관악구 봉천동 1628-28, 02-889-5523, 치킨 / 호프 / 펍, 만원-2만원, 주차공간없음, 월-금: 16:00 - 05:00\n토-일: 14:00 - 05:00
김창일스시, 서울시 관악구 봉천동 1655-50, 02-3285-4824, 회 / 스시, 만원-2만원, 주차공간없음, 11:30 - 24:00
동네아저씨치킨, 서울시 관악구 봉천동 1679-6, 02-872-0029, 닭 / 오리 요리, 만원-2만원, 둘째/넷째 일, None
카페 이졸레, 서울시 구로구 구로동 73-10, 02-851-0575, 카페 / 디저트, 만원 미만, 무료주차 가능, 화-금: 08:10 - 22:00\n토: 12:00 - 21:00\n일: 12:00 - 19:00
봉선마라탕, 서울시 영등포구 대림동 1057-68, 02-2637-4005, 기타 중식, 만원 미만, 주차공간없음, 00:00 - 24:00
줘마양다리구이, 서울시 영등포구 대림동 1056-7, 02-831-3078, 기타 중식, 만원-2만원, 주차공간없음, 11:00 - 02:00
왕기마라향과, 서울시 영등포구 대림동 1050-11, 02-831-0719, 정통 중식 / 일반 중식, 2만원-3만원, 주차공간없음, 10:00 - 02:00
홍중샤브뷔페, 서울시 영등포구 대림동 1050-30, 02-843-8584, 기타 중식, 만원-2만원, 무료주차 가능, 00:00 - 24:00
채선당 (대림점), 서울시 구로구 구로동 97-5, 02-865-5633, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 11:00 - 22:00
귀복루주가, 서울시 영등포구 대림동 1057-69, 02-848-7789, 기타 중식, 만원-2만원, 주차공간없음, 00:00 - 24:00
대림원조마늘통닭, 서울시 구로구 구로동 73-10, 02-862-9233, 닭 / 오리 요리, 만원 미만, 무료주차 가능, 14:30 - 02:00
변강성가자미, 서울시 구로구 구로동 151, 02-858-1818, 기타 중식, 만원-2만원, None, None
화룽마라룽샤, 서울시 영등포구 대림동 717, 02-832-1116, 정통 중식 / 일반 중식, 만원-2만원, 유료주차 가능, 12:00 - 02:00
이디야커피랩, 서울시 강남구 논현동 221-17, 02-545-6467, 카페 / 디저트, 만원 미만, 발렛, 07:30 - 02:00
능라도 (강남점), 서울시 강남구 역삼동 655-12, 02-569-8939, 국수 / 면 요리, 만원-2만원, 발렛, 11:20 - 21:30
삼정하누, 서울시 강남구 역삼동 605-22, 02-501-3834, 고기 요리, 3만원-4만원, 발렛, 11:00 - 23:00
논현손칼국수, 서울시 강남구 논현동 193-38, 02-517-6030, 국수 / 면 요리, 만원 미만, 주차공간없음, 월-금: 09:00 - 20:30\n토: 09:00 - 20:00
일일향 (2호점), 서울시 강남구 논현동 206-5, 02-512-9182, 정통 중식 / 일반 중식, 2만원-3만원, 무료주차 가능, 월-토: 11:30 - 05:00\n일: 11:30 - 22:00
화이브앤투버거저니, 서울시 강남구 논현동 226-7, 02-545-2211, 브런치 / 버거 / 샌드위치, 만원 미만, 주차공간없음, 07:00 - 02:00
헤이미, 서울시 강남구 논현동 224-18, 070-8883-2016, 카페 / 디저트, 만원 미만, 주차공간없음, 금: 11:00 - 20:00\n토: 12:00 - 18:00
짱이네산곰장어, 서울시 강남구 논현동 237-5, 02-514-3554, 해산물 요리, 3만원-4만원, 발렛, 17:00 - 05:00
곰스키친 (논현본점), 서울시 강남구 논현동 191-16, 02-543-1322, 이탈리안, 만원-2만원, 주차공간없음, 10:30 - 21:00
레스토랑핫이슈 (호텔카푸치노), 서울시 강남구 논현동 206-1, 02-2038-9617, 브런치 / 버거 / 샌드위치, 만원-2만원, 발렛, 11:30 - 22:00
외고집설렁탕, 서울시 강남구 삼성동 120-8, 02-567-5225, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 11:00 - 21:00
플랑플랑, 서울시 강남구 삼성동 48-13, 02-542-1020, 카페 / 디저트, 만원 미만, 주차공간없음, 10:00 - 20:00
비야게레로, 서울시 강남구 삼성동 118-21, 02-538-8915, 남미 음식, 만원 미만, 주차공간없음, 12:00 - 21:30
브루클린더버거조인트 (삼성점), 서울시 강남구 삼성동 146-23, 02-555-7180, 브런치 / 버거 / 샌드위치, 만원 미만, 무료주차 가능, 11:30 - 21:30
하나샤부정, 서울시 강남구 삼성동 152-9, 02-538-7114, 정통 일식 / 일반 일식, 11:30 - 22:00, 일, 
어반81 (1호점), 서울시 강남구 삼성동 46-8, 010-8289-7403, 카페 / 디저트, 만원 미만, 무료주차 가능, 월-금: 11:00 - 22:30\n토: 11:00 - 22:00
배럴, 서울시 강남구 삼성동 151-29, 02-568-2589, 칵테일 / 와인, 만원-2만원, 발렛 무료, 19:00 - 03:00
아야진생태찌개, 서울시 강남구 삼성동 150-2, 02-555-2680, 해산물 요리, 만원-2만원, 발렛, 월-금: 11:00 - 22:00\n토-일: 11:00 - 21:30
저스트기네스, 서울시 강남구 삼성동 150-19, 070-8161-2220, 치킨 / 호프 / 펍, 18:00 - 03:00, , None
차이린, 서울시 강남구 삼성동 71-24, 02-543-2847, 정통 중식 / 일반 중식, 만원-2만원, 발렛, 11:30 - 20:30
하동관 (코엑스몰), 서울시 강남구 삼성동 159, 02-551-5959, 탕 / 찌개 / 전골, 만원-2만원, 유료주차 가능, 월-금: 09:00 - 20:00\n토: 09:30 - 20:00\n일: 09:30 - 19:00
클로리스 (코엑스몰점), 서울시 강남구 삼성동 159, 02-558-7523, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:00 - 23:00
테이스팅룸 (코엑스몰), 서울시 강남구 삼성동 159, 02-551-3699, 이탈리안, 만원-2만원, 유료주차 가능, 11:00 - 23:00
소브스위드살몬 (삼성점), 서울시 강남구 삼성동 106, 02-512-0140, 시푸드 요리, 2만원-3만원, 무료주차 가능, 11:30 - 22:00
탑클라우드52 (트레이드타워), 서울시 강남구 삼성동 159, 02-6002-5252, 뷔페, 4만원 이상, 무료주차 가능, 11:30 - 21:30
더베이크하우스, 서울시 강남구 삼성동 106-8, 02-511-3180, 베이커리, 만원 미만, None, None
디퀸즈 (코엑스몰점), 서울시 강남구 삼성동 159, 02-6002-6166, 이탈리안, 만원-2만원, 유료주차 가능, 10:30 - 22:00
이코복스 (코엑스몰), 서울시 강남구 삼성동 159, 02-551-5578, 카페 / 디저트, 만원 미만, 유료주차 가능, 07:00 - 22:00
로네펠트티하우스 (코엑스몰), 서울시 강남구 삼성동 159, 02-551-1823, 카페 / 디저트, 만원 미만, 무료주차 가능, 08:00 - 21:50
곰바위 (본점), 서울시 강남구 삼성동 76-10, 02-511-0068, 고기 요리, 3만원-4만원, 무료주차 가능, 월-금: 11:00 - 24:00\n토-일: 11:00 - 22:00
콩당콩당, 서울시 송파구 잠실동 85, 02-2203-1214, 카페 / 디저트, 만원 미만, 무료주차 가능, 화-토: 12:30 - 15:30\n일: 10:00 - 17:00
나폴레옹과자점 (잠실점), 서울시 송파구 잠실동 175-1, 02-415-1144, 베이커리, 만원 미만, 주차공간없음, 08:00 - 22:30
대호갈비, 서울시 송파구 잠실동 196-4, 02-423-2500, 고기 요리, 만원-2만원, 10:00 - 23:00, None
엘샤다이과자점, 서울시 송파구 잠실동 86, 02-417-5691, 베이커리, 만원 미만, 무료주차 가능, 06:00 - 22:00
브레쉬애비뉴 (우성아파트점), 서울시 송파구 잠실동 101-1, 02-418-2799, 카페 / 디저트, 만원 미만, 08:00 - 22:00, 21:30
왕게수산킹크랩전문점, 서울시 송파구 잠실동 294, 02-3432-1777, 해산물 요리, 3만원-4만원, 발렛, 월-금: 14:00 - 23:00\n토-일: 12:00 - 23:00
슬로우커피1012, 서울시 송파구 잠실동 101-1, 02-2202-5993, 카페 / 디저트, 만원 미만, , None
스타벅스 (아시아선수촌점), 서울시 송파구 잠실동 175, 02-758-8124, 카페 / 디저트, 만원 미만, 07:00 - 23:00, 
유원, 서울시 송파구 잠실동 196-8, 02-416-7465, 정통 중식 / 일반 중식, 2만원-3만원, 무료주차 가능, 09:30 - 21:00
선우가, 서울시 송파구 잠실동 305-21, 02-419-0832, 정통 일식 / 일반 일식, 3만원-4만원, 발렛, 11:30 - 22:00
약초마을, 서울시 동작구 대방동 339-1, 02-812-5215, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 11:00 - 21:00
송백목감자탕, 서울시 동작구 대방동 339-1, 02-825-1522, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 월-토: 00:00 - 24:00\n일: 00:00 - 23:00
빕스 (대방점), 서울시 동작구 대방동 341-3, 02-3280-1997, 패밀리 레스토랑, 2만원-3만원, 무료주차 가능, 11:00 - 22:00
담소, 서울시 영등포구 신길동 1300, 010-6378-5558, 기타 한식, 만원 미만, 주차공간없음, 11:00 - 21:00
라듀레, 서울시 동작구 대방동 500, 070-4210-7434, 베이커리, 만원 미만, 주차공간없음, 06:30 - 01:00
희래등, 서울시 동작구 대방동 39-2, 02-827-0722, 정통 중식 / 일반 중식, 만원-2만원, 무료주차 가능, 11:30 - 21:30
알볼로피자 (신길점), 서울시 영등포구 신길동 449-22, 02-832-8495, 기타 양식, 만원-2만원, 주차공간없음, 11:00 - 22:00
다채 (대방점), 서울시 동작구 대방동 354-1, 02-815-3392, 한정식 / 백반 / 정통 한식, 만원-2만원, 무료주차 가능, 11:30 - 22:30
제일숯불갈비, 서울시 영등포구 신길동 1367-1, 02-844-8974, 고기 요리, 만원-2만원, 주차공간없음, 11:00 - 22:30
코리, 서울시 동작구 대방동 344-1, 02-822-5020, 카페 / 디저트, 만원 미만, 주차공간없음, 월-토: 08:00 - 22:30\n일: 10:30 - 19:00
마쯔무라돈까스, 서울시 도봉구 창동 74-25, 02-991-9801, 까스 요리, 만원 미만, 주차공간없음, 화-금: 10:30 - 18:30\n토-일: 10:30 - 16:00
하누소 (창동본점), 서울시 도봉구 창동 337-1, 02-900-9900, 고기 요리, 만원-2만원, 유료주차 가능, 11:00 - 22:00
카페오븐, 서울시 도봉구 창동 813, 02-3141-0089, 카페 / 디저트, 만원 미만, 11:00 - 23:00, 일
사누끼, 서울시 도봉구 창동 135-12, 02-998-9605, 까스 요리, 만원 미만, 유료주차 가능, 11:00 - 유동적
창동짬뽕, 서울시 도봉구 창동 74-25, 02-900-0771, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 11:30 - 22:00
경복궁 (창동점), 서울시 도봉구 창동 750, 02-992-6777, 한정식 / 백반 / 정통 한식, 2만원-3만원, 발렛, 11:30 - 22:00
쉐프마인드, 서울시 도봉구 창동 26, 이자카야 / 오뎅 / 꼬치, 만원-2만원, None, None, None
우동수, 서울시 도봉구 창동 291-47, 070-4025-4546, 라멘 / 소바 / 우동, 만원 미만, 주차공간없음, 11:30 - 21:00
덩어리, 서울시 도봉구 창동 134-36, 02-993-0522, 고기 요리, 만원-2만원, 주차공간없음, 월-토: 15:00 - 01:00\n일: 13:00 - 01:00
킴스테이블, 서울시 도봉구 창동 296-7, 070-7572-3356, 기타 양식, 만원 미만, 주차공간없음, 10:30 - 21:00
한촌설렁탕 (천안쌍용점), 충청남도 천안시 서북구 쌍용동 1255, 041-571-5871, 탕 / 찌개 / 전골, None, None, None
삼부자한우정육식당, 충청남도 천안시 서북구 쌍용동 1111, 041-571-6363, 고기 요리, 2만원-3만원, 무료주차 가능, 월-토: 14:00 - 24:00\n일: 12:00 - 22:00
샤브팜 (천안점), 충청남도 천안시 서북구 쌍용동 1131, 041-575-1131, 탕 / 찌개 / 전골, 만원-2만원, 유료주차 가능 2시간 무료, 11:00 - 22:00
강촌유미숯불닭갈비, 충청남도 천안시 서북구 쌍용동 1098, 041-575-7223, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 11:30 - 24:00
이현쭈꾸미, 충청남도 천안시 서북구 쌍용동 1206, 041-569-3310, 해산물 요리, 만원-2만원, 무료주차 가능, 11:00 - 21:00
구이박사, 충청남도 천안시 서북구 쌍용동 1056, 041-572-9289, 고기 요리, 2만원-3만원, 무료주차 가능, 11:00 - 22:00
재석이네참숯화로구이, 충청남도 천안시 서북구 쌍용동 1067, 041-575-6582, 고기 요리, 만원-2만원, 주차공간없음, 16:00 - 04:00
지진주쌈밥, 충청남도 천안시 서북구 쌍용동 1180, 041-571-3343, 한정식 / 백반 / 정통 한식, 만원-2만원, 주차공간없음, 11:30 - 21:00
바다장어마을, 충청남도 천안시 서북구 쌍용동 1081, 041-592-7511, 해산물 요리, 3만원-4만원, None, None
탱탱김치제육, 충청남도 천안시 동남구 쌍용동 555-2, 041-578-8864, 고기 요리, 만원 미만, 주차공간없음, 12:00 - 04:00
치르치르 (아산배방점), 충청남도 아산시 배방읍 북수리 988, 041-532-7172, 닭 / 오리 요리, 만원 미만, 주차공간없음, 16:00 - 02:00
꽁당보리밥, 충청남도 아산시 배방읍 북수리 1068, 041-546-3669, 한정식 / 백반 / 정통 한식, 만원-2만원, 주차공간없음, 11:00 - 22:00
아산본가민물장어, 충청남도 아산시 배방읍 북수리 1056, 041-534-1592, 해산물 요리, 3만원-4만원, 무료주차 가능, 10:00 - 22:00
삽교곱창, 충청남도 아산시 배방읍 공수리 61-9, 041-532-9288, 고기 요리, 만원-2만원, 무료주차 가능, 10:00 - 23:00
본죽 (아산배방점), 충청남도 아산시 배방읍 공수리 87-13, 041-548-6282, 기타 한식, None, None, None
원주통닭 (배방점), 충청남도 아산시 배방읍 북수리 967, 041-543-2299, 치킨 / 호프 / 펍, None, None, None
솥단지, 충청남도 아산시 배방읍 북수리 1029, 041-531-6783, 한정식 / 백반 / 정통 한식, 만원-2만원, 무료주차 가능, 월-토: 06:00 - 21:00\n일: 06:00 - 09:00
김국진 참숯갈비, 충청남도 아산시 배방읍 공수리 261-4, 041-533-6699, 고기 요리, 2만원-3만원, 10:00 - 22:00, None
지산갈비, 충청남도 아산시 배방읍 공수리 148-7, 041-542-2392, 고기 요리, 만원-2만원, 무료주차 가능, 11:30 - 22:00
이태은의자연, 충청남도 아산시 배방읍 공수리 92-18, 041-547-5885, 한정식 / 백반 / 정통 한식, 만원-2만원, 무료주차 가능, 11:00 - 21:30
후쿠오카함바그 (AK플라자 구로본점), 서울시 구로구 구로동 573, 02-830-1613, 기타 일식, 만원-2만원, 유료주차 가능, 10:30 - 21:30
카페드마티네 (AK플라자 구로본점), 서울시 구로구 구로동 573, 02-869-9984, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:30 - 21:30
아웃백스테이크하우스 (AK플라자 구로본점), 서울시 구로구 구로동 573, 02-855-7921, 패밀리 레스토랑, 2만원-3만원, 월-목: 10:30 - 20:00\n금-일: 10:30 - 20:30, 21:30
카페라라, 서울시 구로구 신도림동 432-30, 02-2162-2000, 뷔페, 3만원-4만원, 유료주차 가능, 07:00 - 21:30
어니스크, 서울시 구로구 신도림동 694, 02-2636-9565, 베이커리, 만원 미만, 무료주차 가능, 08:00 - 22:00
